RT,Intensity
0.003009501,0.0
0.0088532318,0.0
0.014255201,0.0
0.019819819,0.0
0.025313484,0.0
0.030715615,0.0
0.036171717,0.0
0.041617583,0.0
0.047084132,0.0
0.0525175,0.0
0.057969502,0.0
0.063413234,0.0
0.068931916,0.0
0.074323601,0.0
0.079769352,0.0
0.085231851,0.0
0.090683849,0.0
0.09614845,0.0
0.10157337,0.0
0.10686918,0.0
0.1112483,0.0
0.11562743,0.0
0.12000653,0.0
0.12438572,0.0
0.12994402,0.0
0.13558563,0.0
0.14103762,0.0
0.14653765,0.0
0.15195212,0.0
0.15741052,0.0
0.16291247,0.0
0.16846877,0.0
0.17411047,0.0
0.17968118,0.0
0.18532698,0.0
0.19081643,0.0
0.19623523,0.0
0.20169969,0.0
0.20717684,0.0
0.2126017,0.0
0.2180809,0.0
0.22351832,0.0
0.22896418,0.0
0.23441613,0.0
0.2398745,0.0
0.24535148,0.0
0.25083072,0.0
0.25624098,0.0
0.26171602,0.0
0.26716592,0.0
0.27264928,0.0
0.27808247,0.0
0.28357622,0.0
0.28901367,0.0
0.29446988,0.0
0.29991152,0.0
0.30535942,0.0
0.31080517,0.0
0.31625515,0.0
0.32173427,0.0
0.32718842,0.0
0.3326446,0.0
0.33810503,0.0
0.34352787,0.0
0.34908625,0.0
0.35474867,0.0
0.36021525,0.0
0.3656549,0.0
0.37110682,0.0
0.37658397,0.0
0.38203383,0.0
0.3874693,0.0
0.39291708,0.0
0.3984026,0.0
0.40387117,0.0
0.4093025,0.0
0.41474193,0.0
0.42023782,0.0
0.42565645,0.0
0.43111904,0.0
0.43660428,0.0
0.44201478,0.0
0.44747503,0.0
0.45296885,0.0
0.45838955,0.0
0.46383128,0.0
0.46929365,0.0
0.47475412,0.0
0.48021647,0.0
0.48566445,0.0
0.49109975,0.0
0.4965873,0.0
0.50202674,0.0
0.50746432,0.0
0.5129225,0.0
0.5184058,0.0
0.52385992,0.0
0.52930574,0.0
0.5347494,0.0
0.54020152,0.0
0.54566393,0.0
0.55111392,0.0
0.55655552,0.0
0.56200763,0.0
0.56764927,0.0
0.5732179,0.0
0.57869502,0.0
